row_key,project_id,work_date,shift_slot_id,assignment_id,worker_id,role_id,worked_start_time,worked_end_time,break_minutes,actual_status,assignment_status_hint,memo
ROW0001,P001,2026-01-05,SS001,A0001,W001,R01,09:00,18:00,60,active,confirmed,テスト用
ROW0002,P002,2026-01-06,SS002,A0002,W002,R02,18:00,23:00,0,active,confirmed,テスト用
ROW0003,P003,2026-01-07,SS003,A0003,W003,R03,09:00,18:00,0,active,confirmed,テスト用
ROW0004,P001,2026-01-08,SS004,A0004,W004,R01,18:00,23:00,0,active,confirmed,テスト用
ROW0005,P002,2026-01-09,SS005,A0005,W005,R02,09:00,18:00,60,active,confirmed,テスト用
ROW0006,P003,2026-01-10,SS006,A0006,W006,R03,18:00,23:00,0,active,canceled,テスト用
ROW0007,P001,2026-01-11,SS007,A0007,W007,R01,09:00,18:00,0,active,confirmed,テスト用
ROW0008,P002,2026-01-12,SS008,A0008,W008,R02,18:00,23:00,0,active,confirmed,テスト用
ROW0009,P003,2026-01-13,SS009,A0009,W009,R03,09:00,18:00,60,active,confirmed,テスト用
ROW0010,P001,2026-01-14,SS010,A0010,W010,R01,18:00,23:00,0,active,confirmed,テスト用
ROW0011,P002,2026-01-15,SS011,A0011,W001,R02,09:00,18:00,0,active,confirmed,テスト用
ROW0012,P003,2026-01-16,SS012,A0012,W002,R03,18:00,23:00,0,active,confirmed,テスト用
ROW0013,P001,2026-01-17,SS013,A0013,W003,R01,09:00,18:00,60,active,confirmed,テスト用
ROW0014,P002,2026-01-18,SS014,A0014,W004,R02,18:00,23:00,0,active,confirmed,テスト用
ROW0015,P003,2026-01-19,SS015,A0015,W005,R03,09:00,18:00,0,active,confirmed,テスト用
ROW0016,P001,2026-01-20,SS016,A0016,W006,R01,18:00,23:00,0,active,confirmed,テスト用
ROW0017,P002,2026-01-21,SS017,A0017,W007,R02,09:00,18:00,60,active,confirmed,テスト用
ROW0018,P003,2026-01-22,SS018,A0018,W008,R03,18:00,23:00,0,active,confirmed,テスト用
ROW0019,P001,2026-01-23,SS019,A0019,W009,R01,09:00,18:00,0,active,confirmed,テスト用
ROW0020,P002,2026-01-24,SS020,A0020,W010,R02,18:00,23:00,0,active,confirmed,テスト用
ROW0021,P003,2026-01-05,SS021,A0021,W001,R03,09:00,18:00,60,active,confirmed,テスト用
ROW0022,P001,2026-01-06,SS022,A0022,W002,R01,18:00,23:00,0,active,confirmed,テスト用
ROW0023,P002,2026-01-07,SS023,A0023,W003,R02,09:00,18:00,0,active,confirmed,テスト用
ROW0024,P003,2026-01-08,SS024,A0024,W004,R03,18:00,23:00,0,active,confirmed,テスト用
ROW0025,P001,2026-01-09,SS025,A0025,W005,R01,09:00,18:00,60,active,confirmed,テスト用
ROW0026,P002,2026-01-10,SS026,A0026,W006,R02,18:00,23:00,0,active,confirmed,テスト用
ROW0027,P003,2026-01-11,SS027,A0027,W007,R03,09:00,18:00,0,active,confirmed,テスト用
ROW0028,P001,2026-01-12,SS028,A0028,W008,R01,18:00,23:00,0,active,confirmed,テスト用
ROW0029,P002,2026-01-13,SS029,A0029,W009,R02,09:00,18:00,60,active,confirmed,テスト用
ROW0030,P003,2026-01-14,SS030,A0030,W010,R03,18:00,23:00,0,active,confirmed,テスト用
